cartodb_id,name,description,created_at,updated_at,the_geom,bbox,type,resource,id,dataset_id,scientificname,ee_id
80226,Napothera_crassa,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"109.76000000000002,0.91,116.89,6.28",raster,rasters/04040405428907908306-13144467546782029128,04040405428907908306-13144467546782029128,iucn_birds,Napothera crassa,GME/images/04040405428907908306-13144467546782029128
80875,Eudyptes_chrysocome,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-180,-58.45,180,-34.43",raster,rasters/04040405428907908306-05443595515941161275,04040405428907908306-05443595515941161275,iucn_birds,Eudyptes chrysocome,GME/images/04040405428907908306-05443595515941161275
87197,Ptilinopus_pulchellus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"129.71,-10.38,150.38,0",raster,rasters/04040405428907908306-06488374647109941697,04040405428907908306-06488374647109941697,iucn_birds,Ptilinopus pulchellus,GME/images/04040405428907908306-06488374647109941697
83954,Asthenes_perijana,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-72.98,10.15,-72.84000000000002,10.48",raster,rasters/04040405428907908306-09283990560644969984,04040405428907908306-09283990560644969984,iucn_birds,Asthenes perijana,GME/images/04040405428907908306-09283990560644969984
88645,Chlorostilbon_melanorhynchus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-79.88,-2.45,-74.99,7.44",raster,rasters/04040405428907908306-00730028975379315627,04040405428907908306-00730028975379315627,iucn_birds,Chlorostilbon melanorhynchus,GME/images/04040405428907908306-00730028975379315627
87904,Lophozosterops_goodfellowi,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"123.56,5.949999999999998,126.42,9.34",raster,rasters/04040405428907908306-13753955792627039569,04040405428907908306-13753955792627039569,iucn_birds,Lophozosterops goodfellowi,GME/images/04040405428907908306-13753955792627039569
88265,Falco_rusticolus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"180,41.63,-168.13,83.12",raster,rasters/04040405428907908306-10502148772288535865,04040405428907908306-10502148772288535865,iucn_birds,Falco rusticolus,GME/images/04040405428907908306-10502148772288535865
88541,Conopophaga_aurita,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-77.86,-11.33,-48.36,7.439999999999999",raster,rasters/04040405428907908306-13961573118798498277,04040405428907908306-13961573118798498277,iucn_birds,Conopophaga aurita,GME/images/04040405428907908306-13961573118798498277
88823,Buteo_brachyurus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-110.64,-30.690000000000005,-34.79,29.86",raster,rasters/04040405428907908306-10546924816653543492,04040405428907908306-10546924816653543492,iucn_birds,Buteo brachyurus,GME/images/04040405428907908306-10546924816653543492
83003,Lanius_tigrinus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"95.18,-8.850000000000003,142.08,46.32999999999999",raster,rasters/04040405428907908306-18259027475862471340,04040405428907908306-18259027475862471340,iucn_birds,Lanius tigrinus,GME/images/04040405428907908306-18259027475862471340
83970,Arremonops_tocuyensis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-73.2,9.72,-68.24000000000001,12.47",raster,rasters/04040405428907908306-00841487719171522101,04040405428907908306-00841487719171522101,iucn_birds,Arremonops tocuyensis,GME/images/04040405428907908306-00841487719171522101
89140,Accipiter_soloensis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"95,-9.119999999999997,147.64,39.1",raster,rasters/04040405428907908306-05988473938611293257,04040405428907908306-05988473938611293257,iucn_birds,Accipiter soloensis,GME/images/04040405428907908306-05988473938611293257
83896,Brachypteracias_leptosomus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"46.58,-25.03,50.44,-13.12",raster,rasters/04040405428907908306-02127694696195509342,04040405428907908306-02127694696195509342,iucn_birds,Brachypteracias leptosomus,GME/images/04040405428907908306-02127694696195509342
79688,Pycnonotus_atriceps,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"90.11,-8.850000000000003,120.01000000000002,25.150000000000002",raster,rasters/04040405428907908306-15441410092921880365,04040405428907908306-15441410092921880365,iucn_birds,Pycnonotus atriceps,GME/images/04040405428907908306-15441410092921880365
79764,Prunella_montanella,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"174.16,52.7,-171.85,71.4",raster,rasters/04040405428907908306-17215502213651290048,04040405428907908306-17215502213651290048,iucn_birds,Prunella montanella,GME/images/04040405428907908306-17215502213651290048
83947,Atlapetes_albofrenatus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-74.31,4.33,-70.41,9.17",raster,rasters/04040405428907908306-13625900908510468619,04040405428907908306-13625900908510468619,iucn_birds,Atlapetes albofrenatus,GME/images/04040405428907908306-13625900908510468619
84073,Amazona_guildingii,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-61.25999999999999,13.200000000000001,-61.14,13.31",raster,rasters/04040405428907908306-01996908536911905578,04040405428907908306-01996908536911905578,iucn_birds,Amazona guildingii,GME/images/04040405428907908306-01996908536911905578
81492,Apalis_rufogularis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"1.78,-11.19,35.66,9.87",raster,rasters/04040405428907908306-10834210229768770727,04040405428907908306-10834210229768770727,iucn_birds,Apalis rufogularis,GME/images/04040405428907908306-10834210229768770727
84080,Amazilia_cyanura,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-93.11,12.239999999999997,-85.69,15.950000000000001",raster,rasters/04040405428907908306-05730612920084230696,04040405428907908306-05730612920084230696,iucn_birds,Amazilia cyanura,GME/images/04040405428907908306-05730612920084230696
84015,Apalis_fuscigularis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"38.23,-3.489999999999999,38.419999999999995,-3.2799999999999994",raster,rasters/04040405428907908306-08439792949299826611,04040405428907908306-08439792949299826611,iucn_birds,Apalis fuscigularis,GME/images/04040405428907908306-08439792949299826611
84016,Apalis_flavigularis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"35.34,-16.02,35.76000000000001,-15.139999999999997",raster,rasters/04040405428907908306-14684206255240204408,04040405428907908306-14684206255240204408,iucn_birds,Apalis flavigularis,GME/images/04040405428907908306-14684206255240204408
